img_path,attr,label
Images/lapel_design_labels/bf1e0ae60afeafeeccf112f924c3892c.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/fa185f8c9d166793acfb8d4725beb603.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/f5d6d847c3ee7d4fc2eb64f7cb856c96.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/8774f7de05922f0c448ee310f634917d.jpg,lapel_design_labels,00010tag
Images/lapel_design_labels/6612436b2c115e7acbc9d9c7dc729a79.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/ca9ad9666250256862393193c471c60f.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/a252e088ff4ebe33d24af549255a38c1.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/799f6f8105377b000c653f469171c24b.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/7a807b6af858122a2264c6bdd045c18f.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/47a13fd00c9981fe8e25cda3f59c31f0.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/ddd664c7fde9e742ae78e84f28e855f5.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/e68867ccb1c7595e8b62424ec6e4380d.jpg,lapel_design_labels,00010tag
Images/lapel_design_labels/73488875fc477723d5ff46d221dbac1e.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/fb46a12c1cb81b4c99a701343f9298ac.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/be6d7802948305e084f0328d281dcc69.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/bee2df563205d53ed6521d82af498e1a.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/952acf0430953d072ac10e4cfaccd62f.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/a391e6859d00518b2ca934590229004e.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/980846de8233aa0a58f871496afb9e38.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/edb80af29c03747eb31d9fcdf4979f93.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/d360a7bf06a8ca303e091e4a579375fe.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/2cf33acd92480599ae88e6c44a4afde9.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/435d1db461caea3b3e404e337dde0788.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/9a32db4ac3eb7a9e0bcd5634221e9ba5.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/b7c37032210f45cc4186adf4020c46a7.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/08c774903318e55642cefc1bb3f32ba1.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/e99d987d69d958abdfdbeabddbe6653c.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/48b58e472debc4e35a288b5ef1c5cdaf.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/dd70386245ac4bd9a2a5da4db3b7f652.jpg,lapel_design_labels,00010tag
Images/lapel_design_labels/1d38c6392919e268738b097067b4e46a.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/3f2b0daaf58ef411d117259b8d9682d2.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/2fa907e202db2ce12ff5fcda36e0255f.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/27807f45d335acc2bfa6196b3917a314.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/0fdc9dc46df3ee9bed61c4207114b601.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/1a0113630869e4448ca9ef58884fe56f.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/d3fc684df15e1e9fcb283b0919479a00.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/30a1c4a7d53559d598b07bb57ec7a4b0.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/e94317f5ea64f631d4f92c485642d667.jpg,lapel_design_labels,00010tag
Images/lapel_design_labels/196e57898b55bb226afa02f1912a887a.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/03732e071b29a94dadb00ab1369d8fec.jpg,lapel_design_labels,00010tag
Images/lapel_design_labels/be87de3e82e218c7d410ea321b810000.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/1bbcf54f5e84d8a3b11a3a4ba788cbb0.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/a6c8fe273840f4bc17009db989667f9f.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/eccdd65198c07304eec21d0f7001d7c2.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/e727a0ca50997f47276f45db28b784a2.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/874c7d5326fa2b723890a6e2b94261cc.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/90a63dd2e1b2454f31ee22b31300d389.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/12b7b220e1e273542432c23ac57f6416.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/1d91b66c5736dcf46c701550088ef315.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/4c0bf77da0d77b324510f1c525313884.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/3675de5a7a4edc2fd00c380e249d17c5.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/13761db8723b16cba8610040535b22c7.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/3438382c0dfead9f72bd789eb48f81d3.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/aefc2e6e05f60a7ac57c9ace7cab3992.jpg,lapel_design_labels,01000tag
Images/lapel_design_labels/f434dd1d6b2cbddb8002bc15ad16ad89.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/c8e1fa82254e71e5d02f7e5f3e524dce.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/5c427601d758c20776bf2744df753503.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/70304e8011e435d83b9e46f42965affa.jpg,lapel_design_labels,00001tag
Images/lapel_design_labels/71d36202e1941f5e71d86e18455812ba.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/6a42c3dfa71ed07222395ebbd3bc855e.jpg,lapel_design_labels,10000tag
Images/lapel_design_labels/2b3669edb64756fdcd12102929206064.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/b85f3902414091a74c10cf580defe45e.jpg,lapel_design_labels,00100tag
Images/lapel_design_labels/734f886b46afbd0bb4cdc39b5aff3f10.jpg,lapel_design_labels,10000tag
